_filterGraphicsOperation     nargs=2 cb=0x6bf832 desc=0x3e103c8
_getEventListeners           nargs=2 cb=0x6bf832 desc=0x3e10400
_getEventListeners           nargs=2 cb=0x7eb13e desc=0x3e107b8
_getWidgetGlobalCoordinates  nargs=2 cb=0x76313e desc=0x3e10800
_hash                        nargs=2 cb=0xecd92c desc=0x3e10848
addEventListener             nargs=2 cb=0x0 desc=0x3e10958
addEventListener             nargs=2 cb=0x6bf832 desc=0x3e10f60
addFont                      nargs=2 cb=0xecd948 desc=0x3e11710
addInjectJS                  nargs=2 cb=0x7bef32 desc=0x3e11828
bootFailure                  nargs=2 cb=0x7fbc6c desc=0x3e11860
eval                         nargs=2 cb=0xecd92c desc=0x3e12588
garbageCollect               nargs=2 cb=0x0 desc=0x3e118a8
getFPS                       nargs=2 cb=0x0 desc=0x3e119a0
getFrameInfo                 nargs=2 cb=0x7fbc6c desc=0x3e11a90
getHeapSize                  nargs=2 cb=0x7fbc6c desc=0x3e11ac8
getRenderedFps               nargs=2 cb=0xecd92c desc=0x3e11b00
init                         nargs=2 cb=0x1374834 desc=0x3e11b50
localeInfo                   nargs=2 cb=0x7bfd74 desc=0x3e11b90
measureText                  nargs=2 cb=0x0 desc=0x3e11bf8
moveMouse                    nargs=2 cb=0x6bf832 desc=0x3e11cf8
removeEventListener          nargs=2 cb=0x6bf832 desc=0x3e11d40
removeEventListener          nargs=2 cb=0x80ebd2 desc=0x3e12208
removeFont                   nargs=2 cb=0x858fb8 desc=0x3e12250
removeInjectJS               nargs=2 cb=0x6e04d0 desc=0x3e12288
sendKey                      nargs=2 cb=0x6e20b6 desc=0x3e122d0
setGlyphAtlasSize            nargs=2 cb=0x69bfba desc=0x3e12318
setGlyphDefaultSigma         nargs=2 cb=0x77730e desc=0x3e12350
setGlyphRetainCache          nargs=2 cb=0x7fbc6c desc=0x3e12388
setSyncCallback              nargs=2 cb=0x80ebd2 desc=0x3e123c0
showErrorPage                nargs=2 cb=0x7e8a78 desc=0x3e123f8
sync                         nargs=2 cb=0x7ae74e desc=0x3e12430
widgetsAt                    nargs=2 cb=0x0 desc=0x3e12488
